Repliccate,Gene_trees
1333,"(A,((((((((B,W),U),H),(E,D)),(G,C)),(F,(I,(T,K)))),(((N,M),L),J)),(S,(P,((R,Q),O)))));"
1540,"(((((U,W),V),B),((T,(S,(P,((R,Q),O)))),(J,(((((H,G),E),D),F),(((N,(L,K)),M),(I,C)))))),A);"
56,"(((((U,B),W),V),((T,(S,(P,((R,Q),O)))),(((N,M),(L,K)),(G,((F,I),((E,H),(J,C))))))),A);"
1266,"(((((B,V),W),U),((T,((S,(Q,(R,P))),O)),((N,M),(L,(K,((((F,I),((E,H),D)),J),(G,C))))))),A);"
311,"(((((U,B),W),V),(((S,T),(R,((Q,P),O))),(L,((M,K),(N,((F,J),(((((G,D),E),C),H),I))))))),A);"
1138,"((((U,B),V),((T,(S,(((R,Q),P),O))),((((N,M),((E,H),D)),(L,J)),(K,(((C,F),I),G))))),A);"
233,"((((W,V),(U,B)),((((S,(T,(((R,Q),P),O))),((N,M),(L,K))),J),(H,(((((G,I),C),D),E),F)))),A);"
664,"((((((U,V),B),S),(T,(((R,Q),P),O))),((L,((N,M),K)),(J,(G,((F,E),(((D,H),I),C)))))),A);"
1220,"(((((U,V),B),W),((T,(S,(((Q,R),P),O))),(J,(((((E,L),G),H),(F,(D,((N,M),K)))),(I,C))))),A);"
1615,"(((((W,V),B),U),(S,(T,((O,(R,Q)),P)))),(J,(I,((D,((N,M),(L,K))),((((H,F),E),G),C)))));"
1683,"(A,(((U,V),B),(((S,T),(P,((R,Q),O))),((L,((N,M),K)),(J,(((F,G),((H,E),D)),(I,C)))))));"
75,"(((((((((((U,V),W),T),(S,(P,((R,Q),O)))),(I,(F,(G,((E,(H,D)),C))))),L),J),K),M),N),A);"
279,"((((W,V),(U,B)),((T,(S,(((Q,R),P),O))),((L,((N,M),K)),(J,((F,G),((((C,H),E),I),D)))))),A);"
613,"((((U,B),V),((T,(S,((R,Q),(P,O)))),((((N,M),(L,K)),J),((E,(H,D)),(F,(I,C)))))),A);"
713,"(((((U,B),V),W),(((R,Q),(((S,T),P),O)),((L,K),((N,M),(J,(I,(H,((((D,G),F),E),C)))))))),A);"
959,"((((A,((S,(((R,P),Q),O)),((G,(K,(F,((E,(H,D)),J)))),(((N,M),L),C)))),((U,V),B)),W),T);"
175,"((((B,W),V),U),((T,(S,((Q,(R,P)),O))),((((N,M),L),K),(((I,J),((E,H),D)),((F,G),C)))));"
187,"(((((B,W),V),U),((S,(T,((R,P),(Q,O)))),(J,(N,((L,K),(((M,((((F,G),I),C),E)),D),H)))))),A);"
645,"((((B,V),U),(S,((T,(((R,Q),P),O)),((((N,M),(L,K)),J),(G,(((E,H),D),(F,(I,C)))))))),A);"
832,"((((U,V),W),((T,(S,(P,((Q,O),R)))),(M,((N,L),(K,((((F,G),I),((E,H),D)),C)))))),A);"
30,"((((U,(B,W)),V),(K,(S,(((R,Q),P),(L,(M,(I,(N,((F,E),(D,((G,J),((T,H),C)))))))))))),A);"
216,"(((((B,(U,W)),V),((S,(R,Q)),(P,O))),(T,((((M,K),L),N),((F,J),(((((I,D),C),G),E),H))))),A);"
302,"(A,((((W,V),B),U),(((S,T),((R,Q),(P,O))),(((N,M),L),((H,D),((F,E),((G,J),C)))))));"
393,"(((((B,V),W),U),((T,(S,(((R,Q),P),O))),((N,(M,L)),(K,(((((((F,J),D),I),H),C),E),G))))),A);"
693,"((((U,V),B),((S,(T,(Q,(R,(P,O))))),((M,K),(((I,(((E,D),H),J)),G),(F,((N,L),C)))))),A);"
752,"((((W,V),U),((S,(P,((R,Q),O))),(T,(((N,M),K),(J,(((E,H),D),(G,(F,(I,C))))))))),A);"
802,"(((((B,(U,W)),V),((R,T),(Q,(S,O)))),((N,M),(K,(L,(I,((F,E),((G,J),((H,D),C)))))))),A);"
1570,"(((W,V),(U,B)),((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(J,(G,(F,((I,(E,(H,D))),C)))))));"
1207,"((((U,(B,W)),V),(((S,T),(((Q,R),P),O)),((((N,M),(F,(I,(((H,G),E),D)))),(L,K)),(J,C)))),A);"
1222,"((R,(((((((U,W),V),B),(N,M)),(((G,I),(((H,E),F),D)),C)),(L,K)),J)),(((S,Q),(T,O)),(A,P)));"
1554,"(((((B,V),W),U),(T,(((S,((R,Q),P)),O),(((N,M),(L,K)),(((((J,G),F),I),((E,H),D)),C))))),A);"
