Repliccate,Gene_trees
4589,"((((B,V),W),((P,(((((((R,Q),R),Q),Q),R),R),(((((S,S),(O,O)),S),S),S))),(((N,M),(L,(K,K))),((((((((((((((I,J),E),G),C),G),E),J),(F,F)),H),H),D),D),D),G)))),(A,A));"
5337,"(((((((V,V),V),V),W),(U,B)),((T,((S,S),((((Q,R),R),(((P,P),P),P)),O))),((L,(((((N,N),N),N),M),(K,K))),(((H,D),(E,(G,J))),(F,(I,C)))))),A);"
8826,"((((((V,V),V),V),((U,U),(B,W))),(((T,T),((S,S),(((R,Q),P),O))),(((N,M),(L,(K,K))),(((F,G),((E,H),D)),(J,((I,I),C)))))),A);"
8916,"((((W,V),(U,B)),((((S,S),T),((R,R),(Q,(P,(O,O))))),(((((M,N),N),M),((L,L),K)),(J,((E,(((H,D),H),H)),(I,((F,G),(C,C)))))))),A);"
9153,"(((((B,V),W),(U,U)),(((T,T),(S,((R,R),(((Q,O),P),P)))),((L,((N,M),K)),(F,((H,H),(D,((G,J),(I,(E,C))))))))),A);"
1411,"(A,((((U,V),B),W),((((P,P),P),((R,Q),((S,((T,T),T)),O))),(F,(((I,I),I),(((((N,M),L),(K,K)),J),((G,E),(((D,H),H),C))))))));"
6632,"(((((V,V),(W,W)),((U,U),B)),((S,(T,(((R,Q),P),O))),(((N,M),(L,K)),((((F,G),(((H,H),H),(((((D,D),E),D),E),E))),J),(I,(((C,C),C),C)))))),A);"
8623,"(A,((((U,(B,B)),V),((W,W),W)),(((T,T),(S,((Q,((R,R),(P,P))),O))),(((L,L),((N,(M,M)),(K,K))),((((F,F),G),(((E,E),E),(H,D))),(I,C))))));"
9639,"((((((((B,B),B),B),B),(U,W)),V),(((S,S),((R,(Q,P)),(((T,T),T),O))),(((N,M),(L,K)),((((E,H),H),D),(I,(J,(((((F,F),F),F),G),C))))))),(A,A));"
98,"((((W,V),(U,B)),((T,(S,(((((R,R),R),(Q,Q)),P),(O,O)))),((((M,N),N),(L,K)),((((F,F),G),(E,((H,H),D))),(((I,I),J),C))))),A);"
1797,"((((((V,V),V),(((B,B),B),((W,W),W))),(U,U)),((S,(T,(((Q,P),R),O))),(((N,M),((L,L),K)),(I,(((((((H,E),D),D),E),H),((F,G),(J,J))),C))))),A);"
5433,"(((((U,((B,B),B)),V),(W,W)),((T,(S,((R,Q),(P,O)))),(((L,L),(N,(M,K))),((E,E),(((H,D),D),((((J,J),J),J),(F,((((G,G),G),G),(I,(C,C)))))))))),A);"
10343,"((((W,V),((U,U),(B,B))),((S,(T,((R,Q),(P,O)))),((((N,N),(M,M)),(L,K)),(((E,(H,H)),(D,D)),((F,(((G,G),G),J)),(I,C)))))),A);"
2215,"(((((U,((B,B),(W,W))),V),(S,(T,(((R,Q),P),O)))),(((N,M),((L,L),((L,L),K))),(N,((F,(F,((G,I),J))),(H,((((D,H),C),I),E)))))),((A,A),A));"
6496,"((((((U,U),V),W),((B,B),B)),(((T,T),(S,((R,Q),((P,P),O)))),(((((N,N),N),(((M,M),M),M)),(L,K)),(((F,G),(((E,H),D),J)),(I,C))))),A);"
