Repliccate,Gene_trees
1615,"(((((W,V),B),U),(S,(T,((O,(R,Q)),P)))),(J,(I,((D,((N,M),(L,K))),((((G,H),E),C),F)))));"
1683,"((((U,V),B),(((S,T),(P,((R,Q),O))),((L,((N,M),K)),(J,(((F,G),((D,H),E)),(I,C)))))),A);"
75,"(A,((((((((((U,V),W),T),(S,(P,((R,Q),O)))),(I,(F,(G,((E,(H,D)),C))))),L),J),K),M),N));"
279,"((((W,V),(U,B)),((T,(S,(((P,R),Q),O))),((L,((N,M),K)),(J,((F,G),((((E,H),D),I),C)))))),A);"
613,"((((U,B),V),((T,(S,((R,Q),(P,O)))),((((N,M),(L,K)),J),((E,(H,D)),(F,(I,C)))))),A);"
713,"(((((U,B),V),W),(((R,Q),(((S,T),P),O)),((L,K),((N,M),(J,(I,(H,((((C,E),F),G),D)))))))),A);"
959,"((T,((A,((S,(((P,R),Q),O)),((G,(K,(F,((E,(H,D)),J)))),(((N,M),L),C)))),((U,V),B))),W);"
175,"((((B,W),V),U),((T,(S,((Q,(R,P)),O))),((((N,M),L),K),(((((H,E),D),I),J),((F,G),C)))));"
187,"(((((B,W),V),U),((S,(T,((R,P),(Q,O)))),(J,(N,((L,K),(((((((I,C),E),G),F),D),M),H)))))),A);"
645,"((((B,V),U),(S,((T,(((R,Q),P),O)),((((N,M),(L,K)),J),(G,(((E,D),H),(F,(I,C)))))))),A);"
832,"((((U,V),W),((T,(S,(P,((Q,R),O)))),(M,((N,L),(K,((((F,G),I),((D,E),H)),C)))))),A);"
30,"((((U,(B,W)),V),(K,(S,(((R,Q),P),(L,(M,(I,(N,((F,E),(D,((G,J),((T,H),C)))))))))))),A);"
216,"(((((B,(U,W)),V),((S,(R,Q)),(P,O))),(T,((((M,K),N),L),((F,J),(((((H,G),I),D),C),E))))),A);"
302,"(A,((((W,V),B),U),(((S,T),((R,Q),(P,O))),(((N,M),L),((H,D),((F,E),((G,C),J)))))));"
393,"(((((B,V),W),U),((T,(S,(((R,Q),P),O))),((N,(M,L)),(K,(((((((D,J),C),G),F),E),I),H))))),A);"
693,"((((U,V),B),((S,(T,(Q,(R,(P,O))))),((M,K),(((I,(((H,D),E),J)),G),(F,((N,L),C)))))),A);"
752,"(A,(((W,V),U),((S,(P,((R,Q),O))),(T,(((N,M),K),(J,(((E,H),D),(G,(F,(I,C))))))))));"
802,"(((((B,(U,W)),V),((R,T),(Q,(S,O)))),((N,M),(K,(L,(I,((F,E),((G,J),((H,C),D)))))))),A);"
1570,"(((W,V),(U,B)),((T,(S,(((R,Q),P),O))),(((N,M),(L,K)),(J,(G,(F,((I,(E,(H,D))),C)))))));"
1207,"((((U,(B,W)),V),(((S,T),(((Q,P),R),O)),((((N,M),(F,(I,(((G,D),H),E)))),(L,K)),(J,C)))),A);"
1222,"(((((((((U,W),V),B),(N,M)),(((G,I),(((D,F),E),H)),C)),(L,K)),J),R),(((S,Q),(T,O)),(A,P)));"
1554,"(((((B,V),W),U),(T,(((S,((R,Q),P)),O),(((N,M),(L,K)),(((((J,F),G),((H,D),E)),I),C))))),A);"
