Repliccate,Gene_trees
11379,"((((U,(B,W)),V),((S,(T,(P,((O,R),Q)))),(((N,M),(L,K)),(G,((((((I,J),F),H),D),C),E))))),A);"
1954,"((((U,V),B),((((S,T),(P,(Q,(R,O)))),(D,((E,H),((L,((M,N),K)),(J,(((I,F),G),C)))))),W)),A);"
5203,"((((U,B),W),(((S,T),(((R,Q),P),O)),(((N,M),(L,K)),(G,((((((I,J),H),E),D),F),C))))),A);"
5954,"(((((U,V),B),W),(T,(S,(S,((((O,Q),P),R),(((N,D),(((E,G),H),(K,(((((F,J),C),M),H),I)))),L)))))),A);"
8428,"((((B,W),V),((N,M),((S,(T,(((P,Q),R),O))),((((((D,H),D),J),(((F,F),E),(L,C))),K),I)))),A);"
3506,"(((((B,V),W),U),(L,((M,(N,(S,(((P,R),Q),O)))),(K,((E,D),(I,(J,((F,G),C)))))))),A);"
4957,"((((((((((W,V),(U,B)),(S,(P,((O,R),Q)))),(N,M)),J),J),((((G,H),E),D),C)),(I,(T,K))),F),A);"
7478,"((((U,(B,W)),V),(((S,T),(((P,Q),R),O)),((((N,M),L),K),((I,((F,G),J)),((H,(E,D)),C))))),A);"
4318,"((((U,(B,W)),V),(R,(S,(P,(Q,(T,O)))))),((L,((N,M),K)),(G,((((I,F),H),J),(D,(E,C))))));"
10631,"(A,(((((((((W,V),B),(F,L)),S),(T,O)),Q),R),P),((U,J),(((G,I),(H,((N,M),((E,K),D)))),C))));"
2543,"((((U,B),V),((T,(S,((R,Q),(P,O)))),((N,M),((L,K),(I,(((((E,(F,G)),C),J),D),H)))))),A);"
2647,"(((((U,((((S,(T,(P,(R,(Q,O))))),((N,((L,M),K)),K)),J),(((((G,D),C),I),H),E))),V),(W,W)),B),A);"
3321,"((((((W,(U,U)),V),B),((((Q,R),P),O),(S,(((N,M),(L,K)),(J,(((H,D),E),((F,I),C))))))),T),A);"
8661,"(A,((((U,V),W),(T,(S,((R,(Q,P)),O)))),((L,(M,K)),(((F,G),I),(H,((E,D),(J,C)))))));"
8685,"(((((W,V),U),B),(((R,T),P),((((P,O),S),Q),(G,((((M,L),K),N),((F,J),((((D,I),E),H),C))))))),A);"
10592,"(((((B,V),W),U),((((R,((S,S),S)),Q),O),(J,(((M,L),K),(N,((((((C,D),G),H),E),F),I)))))),A);"
2838,"((((B,V),(U,W)),(((S,T),(((R,Q),P),O)),(((N,M),(L,K)),(J,(G,(((E,H),D),(F,(I,C)))))))),A);"
2910,"(((((U,V),B),W),(T,(P,(((R,Q),O),(S,((M,(N,(L,K))),(((((((I,F),D),G),E),J),H),C))))))),A);"
5675,"((((U,B),V),W),((S,(T,(((R,Q),(P,P)),O))),((L,K),((N,M),(I,(((((E,H),D),G),F),(J,C)))))));"
8611,"((((U,(B,B)),V),(O,((((R,P),Q),S),((N,(((D,H),J),(G,((M,(L,K)),(((((F,C),D),E),H),I))))),W)))),A);"
5916,"(((((U,B),V),W),((((S,T),O),((P,P),(R,Q))),(((((((D,E),D),((((K,N),L),M),J)),G),F),H),(I,C)))),A);"
6,"(((U,V),(B,W)),((T,(P,((R,Q),((S,S),O)))),(J,(G,(((((H,F),I),D),((M,(N,L)),K)),(E,C))))));"
3425,"((((B,W),V),U),((T,(S,(P,(R,(Q,O))))),(((E,(H,H)),D),(((N,M),(L,K)),(((G,F),I),C)))));"
6689,"(((((((((((((B,W),V),U),O),Q),P),(((((((J,E),N),D),C),M),H),L)),G),(S,((R,S),T))),I),F),K),A);"
8861,"(((((U,B),W),V),(S,(O,(((R,Q),T),(P,((((L,K),N),M),(((((((D,J),G),C),I),E),H),F))))))),A);"
10123,"(((((W,V),B),U),(((T,I),(S,((R,Q),(P,O)))),((((N,M),L),K),((((((J,H),F),C),H),E),G)))),A);"
10354,"(((((B,V),U),W),((((R,Q),P),S),((T,(F,O)),(J,((L,((K,M),N)),((G,((E,H),D)),(I,C))))))),A);"
1912,"(((((B,V),U),W),((((((R,T),P),Q),(S,S)),O),((N,M),((K,(D,((H,H),(E,J)))),(((F,I),L),C))))),A);"
2408,"(A,((((B,V),W),U),((S,(((R,Q),P),O)),(((E,H),D),(((G,I),(F,((L,((N,M),K)),J))),C)))));"
2619,"(((((U,W),V),B),((S,(T,(((R,O),Q),P))),(I,(K,((H,(((G,M),N),(L,J))),((F,E),C)))))),A);"
6495,"((((B,V),W),U),((T,(S,((R,Q),(P,O)))),((((N,M),L),K),(J,(((F,G),E),(H,(I,C)))))));"
1927,"(((((((U,B),W),V),(S,(R,((Q,P),O)))),T),(((N,M),(L,K)),((F,(G,(H,D))),(I,C)))),A);"
3867,"(((((((T,(S,((O,(R,Q)),P))),((N,M),((L,K),(J,((((((I,D),G),E),F),C),H))))),V),W),B),U),A);"
7912,"(((((U,B),V),W),((S,((R,P),O)),((N,M),(L,(K,(J,(G,((((((C,D),E),F),H),H),I)))))))),A);"
308,"(A,((((U,V),B),W),(T,((P,(S,((R,Q),O))),((((N,M),L),K),(I,((((((H,G),F),E),D),J),C)))))));"
1822,"(A,((((U,B),V),W),((S,E),(K,((D,(((N,M),(((O,R),P),Q)),(F,(I,(G,J))))),(((H,L),T),C))))));"
2184,"(((((U,B),W),V),(((S,T),(R,((Q,P),O))),(L,(((N,((F,J),(((((G,D),E),C),H),I))),K),M)))),A);"
2469,"(A,(((W,V),(U,B)),((((R,Q),P),O),(S,((L,((N,M),K)),((F,G),((I,J),(((E,H),D),C))))))));"
5164,"(((((W,V),(U,B)),((L,((N,M),K)),(J,(F,(I,((G,E),((H,C),D))))))),(T,(S,((R,P),O)))),A);"
8287,"(A,((((U,B),V),W),(((T,((S,S),(((R,O),Q),P))),((((((((D,G),N),E),H),F),M),J),K)),((L,C),I))));"
2022,"(((((W,U),V),B),(((((T,S),O),P),(R,Q)),(J,((((M,K),L),N),((F,G),(D,((((H,I),H),E),C))))))),A);"
